scores,videos,usertimes,systemtimes,userid,sanityscore
5,1.mp4,443520,7965,A3QI1RV4HQ9MOC,2
1,2.mp4,16742,9076,A3QI1RV4HQ9MOC,5
5,3.mp4,17456,7347,A3QI1RV4HQ9MOC,2
1,4.mp4,42768,11103,A3QI1RV4HQ9MOC,5
5,5.mp4,32271,5058,A3QI1RV4HQ9MOC,2
5,1.mp4,32974,12271,A183WYXN12P2TJ,2
1,2.mp4,16395,4554,A183WYXN12P2TJ,5
2,3.mp4,13324,7882,A183WYXN12P2TJ,4
2,4.mp4,13008,5176,A183WYXN12P2TJ,4
4,5.mp4,13489,9419,A183WYXN12P2TJ,2
5,1.mp4,1707312,12708,AKSJ3C5O3V9RB,2
1,2.mp4,15560,6689,AKSJ3C5O3V9RB,5
4,3.mp4,14201,7151,AKSJ3C5O3V9RB,4
3,4.mp4,24272,8312,AKSJ3C5O3V9RB,4
5,5.mp4,14863,4682,AKSJ3C5O3V9RB,2
5,1.mp4,62215,17999,A29ZTHY1OB4IC8,2
1,2.mp4,17568,5932,A29ZTHY1OB4IC8,5
1,3.mp4,18524,14734,A29ZTHY1OB4IC8,4
1,4.mp4,16082,7049,A29ZTHY1OB4IC8,4
5,5.mp4,24606,9801,A29ZTHY1OB4IC8,2
5,1.mp4,40125,24596,A3TUMZ954ORSUC,2
1,2.mp4,14887,4857,A3TUMZ954ORSUC,5
1,3.mp4,15675,4168,A3TUMZ954ORSUC,5
1,4.mp4,15213,4758,A3TUMZ954ORSUC,5
5,5.mp4,16783,6774,A3TUMZ954ORSUC,2
5,1.mp4,127132,38999,A9EVF0SO2IUJ0,2
1,2.mp4,35998,20122,A9EVF0SO2IUJ0,5
1,3.mp4,46330,38861,A9EVF0SO2IUJ0,4
1,4.mp4,43945,16264,A9EVF0SO2IUJ0,5
4,5.mp4,31540,23633,A9EVF0SO2IUJ0,2
5,1.mp4,50574,27466,A1EX0MEOPF8AHT,2
1,2.mp4,17237,12193,A1EX0MEOPF8AHT,5
2,3.mp4,17066,10360,A1EX0MEOPF8AHT,5
4,4.mp4,17542,5109,A1EX0MEOPF8AHT,2
5,5.mp4,17656,6093,A1EX0MEOPF8AHT,2
5,1.mp4,48593,14541,ACDX50KGPE97I,2
1,2.mp4,15348,5863,ACDX50KGPE97I,5
2,3.mp4,14871,7707,ACDX50KGPE97I,5
3,4.mp4,14277,4774,ACDX50KGPE97I,4
4,5.mp4,16272,8252,ACDX50KGPE97I,5
5,1.mp4,46352,18280,A256FHXGSY0E5D,2
1,2.mp4,12472,9049,A256FHXGSY0E5D,5
1,3.mp4,17309,10830,A256FHXGSY0E5D,4
1,4.mp4,19447,6678,A256FHXGSY0E5D,4
4,5.mp4,30849,24607,A256FHXGSY0E5D,3
5,1.mp4,43780,6768,A2UO3QJZNC2VOE,2
1,2.mp4,16719,8933,A2UO3QJZNC2VOE,5
2,3.mp4,18288,8580,A2UO3QJZNC2VOE,5
2,4.mp4,17665,6496,A2UO3QJZNC2VOE,5
5,5.mp4,17057,11278,A2UO3QJZNC2VOE,2
