scores,videos,usertimes,systemtimes,userid,sanityscore
5,1.mp4,85855,16630,A2MCG5W6LHSRG9,2
1,2.mp4,36835,21532,A2MCG5W6LHSRG9,5
3,6.mp4,21341,7580,A2MCG5W6LHSRG9,4
3,3.mp4,18478,19062,A2MCG5W6LHSRG9,4
4,5.mp4,18852,8089,A2MCG5W6LHSRG9,3
2,4.mp4,45093,65515,A2MCG5W6LHSRG9,3
5,1.mp4,116158,72547,A2SSYBUT9ZM0G9,2
1,2.mp4,43980,66821,A2SSYBUT9ZM0G9,5
5,5.mp4,23092,9705,A2SSYBUT9ZM0G9,2
5,3.mp4,24473,11497,A2SSYBUT9ZM0G9,5
3,6.mp4,23946,19745,A2SSYBUT9ZM0G9,2
3,4.mp4,22906,11415,A2SSYBUT9ZM0G9,5
5,1.mp4,96598,15561,A2BW6WD7LZ9EGV,2
1,2.mp4,19094,8510,A2BW6WD7LZ9EGV,5
2,6.mp4,18712,6080,A2BW6WD7LZ9EGV,4
3,5.mp4,18164,4660,A2BW6WD7LZ9EGV,4
2,4.mp4,18994,4507,A2BW6WD7LZ9EGV,5
2,3.mp4,18524,15587,A2BW6WD7LZ9EGV,5
5,1.mp4,44481,8125,A22KRF782ELLB0,2
1,2.mp4,21452,10322,A22KRF782ELLB0,5
4,5.mp4,22616,9408,A22KRF782ELLB0,4
3,4.mp4,20754,9192,A22KRF782ELLB0,4
3,6.mp4,22552,24428,A22KRF782ELLB0,3
3,3.mp4,21179,26687,A22KRF782ELLB0,3
5,1.mp4,53066,14756,AOAZMLP27GD81,2
1,2.mp4,18695,11586,AOAZMLP27GD81,5
4,3.mp4,19379,193816,AOAZMLP27GD81,4
3,6.mp4,22051,8829,AOAZMLP27GD81,4
4,5.mp4,19641,6036,AOAZMLP27GD81,3
3,4.mp4,20270,15870,AOAZMLP27GD81,3
5,1.mp4,78688,64951,A12HZGOZQD5YK7,2
1,2.mp4,19494,39158,A12HZGOZQD5YK7,5
2,4.mp4,19494,14701,A12HZGOZQD5YK7,4
3,3.mp4,21560,30486,A12HZGOZQD5YK7,4
3,5.mp4,18834,36214,A12HZGOZQD5YK7,3
2,6.mp4,18690,18586,A12HZGOZQD5YK7,3
5,1.mp4,49314,25679,A2WGW5Y3ZFBDEC,2
