scores,videos,usertimes,systemtimes,userid,sanityscore
5,1.mp4,45687,14188,A27W025UEXS1G0,2
1,2.mp4,18674,17794,A27W025UEXS1G0,5
3,3.mp4,19675,8049,A27W025UEXS1G0,4
1,4.mp4,19619,12219,A27W025UEXS1G0,4
2,5.mp4,18641,42320,A27W025UEXS1G0,3
2,6.mp4,18640,7693,A27W025UEXS1G0,3
5,1.mp4,82941,13920,A3FOKP72T5I4FR ,2
1,2.mp4,27597,14215,A3FOKP72T5I4FR ,5
4,3.mp4,28879,20146,A3FOKP72T5I4FR ,4
4,4.mp4,28143,7956,A3FOKP72T5I4FR ,4
4,5.mp4,26658,11644,A3FOKP72T5I4FR ,3
3,6.mp4,28009,12102,A3FOKP72T5I4FR ,3
5,1.mp4,138291,49072,A1DVKS3R9SLQ1H,2
1,2.mp4,31493,47096,A1DVKS3R9SLQ1H,5
5,3.mp4,29786,25030,A1DVKS3R9SLQ1H,2
4,4.mp4,30985,15619,A1DVKS3R9SLQ1H,4
2,5.mp4,26450,22031,A1DVKS3R9SLQ1H,5
2,6.mp4,24627,7738,A1DVKS3R9SLQ1H,5
5,1.mp4,59469,17647,AW0MG225VXWCN,2
1,2.mp4,18611,14884,AW0MG225VXWCN,5
3,3.mp4,20246,23558,AW0MG225VXWCN,4
2,4.mp4,19393,12242,AW0MG225VXWCN,4
4,5.mp4,22991,7095,AW0MG225VXWCN,3
2,6.mp4,20983,13308,AW0MG225VXWCN,3
5,1.mp4,99633,29981,AQXRHIMQ7UK7O,2
1,2.mp4,18275,12817,AQXRHIMQ7UK7O,5
4,3.mp4,20438,5964,AQXRHIMQ7UK7O,4
3,4.mp4,20358,6063,AQXRHIMQ7UK7O,4
4,5.mp4,37677,34451,AQXRHIMQ7UK7O,3
3,6.mp4,19332,5417,AQXRHIMQ7UK7O,3
5,1.mp4,62132,14425,AZNIEFUIVB2H0,2
1,2.mp4,18861,14921,AZNIEFUIVB2H0,5
4,3.mp4,19379,21681,AZNIEFUIVB2H0,4
3,4.mp4,18610,16776,AZNIEFUIVB2H0,4
3,5.mp4,19858,19274,AZNIEFUIVB2H0,5
2,6.mp4,18319,9314,AZNIEFUIVB2H0,5
5,1.mp4,58498,11928,A2R0YYUAWNT7UD,2
1,2.mp4,20538,7340,A2R0YYUAWNT7UD,5
4,3.mp4,18492,8550,A2R0YYUAWNT7UD,4
2,4.mp4,18889,19660,A2R0YYUAWNT7UD,5
3,5.mp4,19241,6644,A2R0YYUAWNT7UD,3
3,6.mp4,19510,17838,A2R0YYUAWNT7UD,5
5,1.mp4,36696,6397,A320QA9HJFUOZO,2
1,2.mp4,19154,6894,A320QA9HJFUOZO,5
4,3.mp4,18915,4544,A320QA9HJFUOZO,4
3,4.mp4,18685,5775,A320QA9HJFUOZO,4
4,5.mp4,18076,4072,A320QA9HJFUOZO,3
3,6.mp4,17881,5567,A320QA9HJFUOZO,3
5,1.mp4,237507,7176,A256FHXGSY0E5D,2
1,2.mp4,42096,14759,A256FHXGSY0E5D,5
3,3.mp4,21048,9881,A256FHXGSY0E5D,4
2,4.mp4,21233,8823,A256FHXGSY0E5D,4
2,5.mp4,19765,6889,A256FHXGSY0E5D,3
2,6.mp4,22654,18269,A256FHXGSY0E5D,5
5,1.mp4,51998,36755,A3UV55HC87DO9C,2
