scores,videos,usertimes,systemtimes,userid,sanityscore
5,1.mp4,212482,28614,A299J4PKHAEU9H,2
1,2.mp4,124483,11460,A299J4PKHAEU9H,2
4,3.mp4,62156,10394,A299J4PKHAEU9H,2
5,4.mp4,65026,7629,A299J4PKHAEU9H,2
3,5.mp4,69851,7557,A299J4PKHAEU9H,2
3,6.mp4,66632,36585,A299J4PKHAEU9H,2
5,1.mp4,111866,24058,A49HPQ9P5AHU4,2
1,2.mp4,31619,9525,A49HPQ9P5AHU4,5
5,3.mp4,22419,15934,A49HPQ9P5AHU4,2
4,4.mp4,24626,19668,A49HPQ9P5AHU4,5
3,5.mp4,23670,8434,A49HPQ9P5AHU4,4
3,6.mp4,24305,4252,A49HPQ9P5AHU4,4
5,1.mp4,238658,10644,AORHXBTOCXFUK,2
1,2.mp4,39394,8542,AORHXBTOCXFUK,2
4,3.mp4,34017,10201,AORHXBTOCXFUK,2
4,4.mp4,26115,6464,AORHXBTOCXFUK,2
2,5.mp4,33974,196950,AORHXBTOCXFUK,2
3,6.mp4,27894,6262,AORHXBTOCXFUK,3
5,1.mp4,112350,16128,A1FP3SH704X01V,2
1,2.mp4,70987,18530,A1FP3SH704X01V,5
5,3.mp4,24421,3992,A1FP3SH704X01V,2
4,4.mp4,30079,4556,A1FP3SH704X01V,5
4,5.mp4,27071,15708,A1FP3SH704X01V,5
2,6.mp4,24980,6175,A1FP3SH704X01V,4
5,1.mp4,698777,7187,AKSJ3C5O3V9RB,2
1,2.mp4,52165,6264,AKSJ3C5O3V9RB,5
5,3.mp4,23483,6396731,AKSJ3C5O3V9RB,2
4,4.mp4,23262,27556,AKSJ3C5O3V9RB,4
4,5.mp4,23093,39866,AKSJ3C5O3V9RB,4
2,6.mp4,25043,4119828,AKSJ3C5O3V9RB,5
5,1.mp4,142458,6310,A1XH05IKC77OXO,2
1,2.mp4,166854,6565,A1XH05IKC77OXO,2
4,3.mp4,34698,20053,A1XH05IKC77OXO,2
4,4.mp4,34542,9807,A1XH05IKC77OXO,2
4,5.mp4,46369,6954,A1XH05IKC77OXO,2
4,6.mp4,36263,43721,A1XH05IKC77OXO,2
5,1.mp4,289483,2977,A183WYXN12P2TJ,2
1,2.mp4,44230,5377,A183WYXN12P2TJ,5
5,3.mp4,21196,2880,A183WYXN12P2TJ,2
4,4.mp4,21985,2773,A183WYXN12P2TJ,4
4,5.mp4,22099,4891,A183WYXN12P2TJ,4
3,6.mp4,24081,7233,A183WYXN12P2TJ,4
5,1.mp4,170255,27840,A2MCG5W6LHSRG9,2
1,2.mp4,31197,5333,A2MCG5W6LHSRG9,5
5,3.mp4,22684,7323,A2MCG5W6LHSRG9,2
4,4.mp4,23762,46917,A2MCG5W6LHSRG9,4
4,5.mp4,22449,32459,A2MCG5W6LHSRG9,4
4,6.mp4,30032,96176,A2MCG5W6LHSRG9,4
5,1.mp4,281993,35869,A1HK7CR71C8BCA,2
1,2.mp4,39756,27154,A1HK7CR71C8BCA,5
5,3.mp4,25683,53902,A1HK7CR71C8BCA,2
3,4.mp4,31476,47209,A1HK7CR71C8BCA,4
3,5.mp4,29472,21077,A1HK7CR71C8BCA,4
3,6.mp4,55564,131444,A1HK7CR71C8BCA,4
5,1.mp4,82413,12909,AVPKE76DJLWK6,2
1,2.mp4,58812,9812,AVPKE76DJLWK6,5
5,3.mp4,24652,15703,AVPKE76DJLWK6,2
4,4.mp4,24762,48181,AVPKE76DJLWK6,4
4,5.mp4,35997,37084,AVPKE76DJLWK6,4
4,6.mp4,28486,10923,AVPKE76DJLWK6,4
5,1.mp4,98473,28224,A2W3KKNN3CAY66,2
1,2.mp4,32443,29127,A2W3KKNN3CAY66,5
5,3.mp4,27934,349886,A2W3KKNN3CAY66,2
3,4.mp4,25475,8767,A2W3KKNN3CAY66,4
2,5.mp4,26980,7930,A2W3KKNN3CAY66,4
2,6.mp4,26514,25781,A2W3KKNN3CAY66,4
5,1.mp4,98561,90567,A9MYC5IGQ2DO4,5
1,2.mp4,49118,15202,A9MYC5IGQ2DO4,2
5,3.mp4,58596,17708,A9MYC5IGQ2DO4,2
3,4.mp4,30853,5487,A9MYC5IGQ2DO4,2
4,5.mp4,34230,4678,A9MYC5IGQ2DO4,2
4,6.mp4,78786,19426,A9MYC5IGQ2DO4,5
5,1.mp4,127220,21533,A2HOUSKURBF8UA,2
1,2.mp4,68784,43566,A2HOUSKURBF8UA,5
5,3.mp4,25293,10939,A2HOUSKURBF8UA,2
4,4.mp4,27216,8417,A2HOUSKURBF8UA,4
4,5.mp4,28295,35119,A2HOUSKURBF8UA,4
4,6.mp4,27546,12174,A2HOUSKURBF8UA,4
