scores,videos,usertimes,systemtimes,userid,sanityscore
5,1.mp4,77689,5771,A9MYC5IGQ2DO4,5
1,2.mp4,54816,11422,A9MYC5IGQ2DO4,5
5,3.mp4,32024,138980,A9MYC5IGQ2DO4,5
5,4.mp4,77648,9167,A9MYC5IGQ2DO4,5
4,5.mp4,38052,5428,A9MYC5IGQ2DO4,5
5,6.mp4,58839,23834,A9MYC5IGQ2DO4,5
5,1.mp4,117380,30903,A8KHWKKGAGOH0,2
1,2.mp4,31165,21304,A8KHWKKGAGOH0,5
1,3.mp4,36797,4098,A8KHWKKGAGOH0,5
4,4.mp4,24972,5421,A8KHWKKGAGOH0,3
3,5.mp4,23943,4894,A8KHWKKGAGOH0,4
1,6.mp4,24657,20428,A8KHWKKGAGOH0,5
5,1.mp4,155640,37708,A22051NK9RQ4FV,2
1,2.mp4,30787,26521,A22051NK9RQ4FV,5
2,3.mp4,27443,7479,A22051NK9RQ4FV,5
2,4.mp4,28873,19154,A22051NK9RQ4FV,5
3,5.mp4,26620,6042,A22051NK9RQ4FV,5
3,6.mp4,27240,7886,A22051NK9RQ4FV,3
5,1.mp4,79285,10528,A26UIS59SY4NM6,2
1,2.mp4,28208,17861,A26UIS59SY4NM6,3
4,3.mp4,25427,8263,A26UIS59SY4NM6,5
4,4.mp4,24904,24396,A26UIS59SY4NM6,5
4,5.mp4,28390,8623,A26UIS59SY4NM6,5
4,6.mp4,26644,26186,A26UIS59SY4NM6,3
5,1.mp4,34878,7880,A3HPLIWSXW3XV8,2
1,2.mp4,31564,82237,A3HPLIWSXW3XV8,3
5,3.mp4,30915,9193,A3HPLIWSXW3XV8,2
5,4.mp4,29897,26015,A3HPLIWSXW3XV8,2
5,5.mp4,34349,36885,A3HPLIWSXW3XV8,2
4,6.mp4,30106,8615,A3HPLIWSXW3XV8,3
5,1.mp4,102763,26197,A1XH05IKC77OXO,5
1,2.mp4,106371,6086,A1XH05IKC77OXO,2
5,3.mp4,32137,9263,A1XH05IKC77OXO,5
5,4.mp4,38811,4849,A1XH05IKC77OXO,5
4,5.mp4,62980,11256,A1XH05IKC77OXO,5
4,6.mp4,36376,6092,A1XH05IKC77OXO,5
5,1.mp4,141397,4664,A183WYXN12P2TJ,2
1,2.mp4,89569,12264,A183WYXN12P2TJ,5
5,3.mp4,24906,9311,A183WYXN12P2TJ,2
4,4.mp4,24912,3674,A183WYXN12P2TJ,2
3,5.mp4,28794,3979,A183WYXN12P2TJ,3
3,6.mp4,28319,3258,A183WYXN12P2TJ,3
5,1.mp4,202843,20542,AQAXDL1INQC9Q,2
1,2.mp4,28942,19995,AQAXDL1INQC9Q,5
4,3.mp4,25484,43864,AQAXDL1INQC9Q,5
4,4.mp4,24312,62379,AQAXDL1INQC9Q,5
3,5.mp4,26100,24409,AQAXDL1INQC9Q,5
3,6.mp4,32982,318014,AQAXDL1INQC9Q,5
5,1.mp4,91164,10747,A299J4PKHAEU9H,5
1,2.mp4,38228,6689,A299J4PKHAEU9H,2
4,3.mp4,111322,4470,A299J4PKHAEU9H,2
3,4.mp4,97267,7804,A299J4PKHAEU9H,5
5,5.mp4,62752,42816,A299J4PKHAEU9H,5
5,6.mp4,70154,5168,A299J4PKHAEU9H,2
5,1.mp4,114172,13021,A2SWQM5X54P1O5,2
1,2.mp4,30979,26493,A2SWQM5X54P1O5,5
3,3.mp4,26756,5529,A2SWQM5X54P1O5,3
1,4.mp4,27512,18331,A2SWQM5X54P1O5,5
4,5.mp4,26684,7023,A2SWQM5X54P1O5,2
4,6.mp4,25300,5757,A2SWQM5X54P1O5,2
5,1.mp4,89707,16866,A1XC5OV00MECKQ,2
1,2.mp4,34007,25306,A1XC5OV00MECKQ,5
5,3.mp4,31631,38419,A1XC5OV00MECKQ,2
1,4.mp4,27589,145968,A1XC5OV00MECKQ,5
5,5.mp4,32149,8987,A1XC5OV00MECKQ,2
1,6.mp4,34067,7919,A1XC5OV00MECKQ,5
5,1.mp4,122267,12826,A14PFRHG0A2YY9,2
1,2.mp4,30479,34901,A14PFRHG0A2YY9,3
4,3.mp4,27665,5440,A14PFRHG0A2YY9,5
4,4.mp4,27080,17280,A14PFRHG0A2YY9,3
5,5.mp4,27760,15394,A14PFRHG0A2YY9,2
4,6.mp4,34084,7676,A14PFRHG0A2YY9,5
5,1.mp4,107335,11412,A2QD9PJUKW7PKK,2
1,2.mp4,27941,19241,A2QD9PJUKW7PKK,5
2,3.mp4,25197,4683,A2QD9PJUKW7PKK,5
2,4.mp4,25586,52506,A2QD9PJUKW7PKK,5
1,5.mp4,26482,6619,A2QD9PJUKW7PKK,5
1,6.mp4,25690,3392,A2QD9PJUKW7PKK,5
5,1.mp4,117700,8472,ACSS93E03ZUGX ,2
1,2.mp4,30673,5832,ACSS93E03ZUGX ,5
4,3.mp4,25664,12391,ACSS93E03ZUGX ,2
5,4.mp4,24932,4473,ACSS93E03ZUGX ,2
5,5.mp4,25421,4498,ACSS93E03ZUGX ,2
2,6.mp4,25104,10005,ACSS93E03ZUGX ,5
5,1.mp4,298268,65865,A1V1JNPU0KOA3X,2
1,2.mp4,32476,35583,A1V1JNPU0KOA3X,3
5,3.mp4,24605,112032,A1V1JNPU0KOA3X,2
3,4.mp4,29933,53447,A1V1JNPU0KOA3X,5
4,5.mp4,24753,49424,A1V1JNPU0KOA3X,3
3,6.mp4,24612,43638,A1V1JNPU0KOA3X,5
5,1.mp4,150960,34004,A7204W9E8IR1R,2
1,2.mp4,37465,12107,A7204W9E8IR1R,5
4,3.mp4,33779,8707,A7204W9E8IR1R,3
4,4.mp4,23767,28611,A7204W9E8IR1R,3
1,5.mp4,37650,28063,A7204W9E8IR1R,5
2,6.mp4,32702,6327,A7204W9E8IR1R,5
5,1.mp4,123935,19883,A1G96GPSRSLPC0,2
1,2.mp4,533532,6678,A1G96GPSRSLPC0,5
4,3.mp4,94479,142838,A1G96GPSRSLPC0,2
5,4.mp4,49827,13337,A1G96GPSRSLPC0,2
2,5.mp4,31921,5746,A1G96GPSRSLPC0,5
4,6.mp4,39470,13797,A1G96GPSRSLPC0,2
5,1.mp4,72429,7311,A320QA9HJFUOZO,2
1,2.mp4,73991,12587,A320QA9HJFUOZO,3
4,3.mp4,23698,3302,A320QA9HJFUOZO,4
4,4.mp4,24505,10255,A320QA9HJFUOZO,4
3,5.mp4,25318,3302,A320QA9HJFUOZO,5
2,6.mp4,24747,4963,A320QA9HJFUOZO,3
5,1.mp4,207816,20816,A9EVF0SO2IUJ0,2
1,2.mp4,31886,32085,A9EVF0SO2IUJ0,5
2,3.mp4,28722,18790,A9EVF0SO2IUJ0,4
3,4.mp4,26151,66543,A9EVF0SO2IUJ0,4
2,5.mp4,26616,15454,A9EVF0SO2IUJ0,5
4,6.mp4,29921,20173,A9EVF0SO2IUJ0,2
5,1.mp4,70474,73026,A2PYXFVGNJPPX0,2
1,2.mp4,162084,51030,A2PYXFVGNJPPX0,2
4,3.mp4,36323,34399,A2PYXFVGNJPPX0,2
4,4.mp4,32169,11825,A2PYXFVGNJPPX0,2
5,5.mp4,30267,8034,A2PYXFVGNJPPX0,2
4,6.mp4,34749,7051,A2PYXFVGNJPPX0,2
5,1.mp4,141020,41329,A2K2T23JWSB8R4,2
1,2.mp4,25896,16937,A2K2T23JWSB8R4,3
1,3.mp4,23093,7899,A2K2T23JWSB8R4,3
1,4.mp4,24420,14324,A2K2T23JWSB8R4,5
1,5.mp4,25283,13226,A2K2T23JWSB8R4,3
1,6.mp4,24785,5185,A2K2T23JWSB8R4,3
5,1.mp4,78041,26525,ASWZO1WY1UHEP,2
1,2.mp4,27989,43998,ASWZO1WY1UHEP,5
3,3.mp4,27233,5784,ASWZO1WY1UHEP,5
2,4.mp4,26729,10454,ASWZO1WY1UHEP,5
2,5.mp4,25537,53558,ASWZO1WY1UHEP,5
3,6.mp4,27709,99225,ASWZO1WY1UHEP,5
5,1.mp4,239451,27001,A1DVKS3R9SLQ1H,2
1,2.mp4,33851,52898,A1DVKS3R9SLQ1H,3
1,3.mp4,26903,42803,A1DVKS3R9SLQ1H,5
1,4.mp4,26852,67844,A1DVKS3R9SLQ1H,3
1,5.mp4,26434,73431,A1DVKS3R9SLQ1H,3
1,6.mp4,26856,110364,A1DVKS3R9SLQ1H,3
5,1.mp4,111155,36066,A1XAOEDK0Y2KBT,4
1,2.mp4,29486,24854,A1XAOEDK0Y2KBT,3
5,3.mp4,27324,6109,A1XAOEDK0Y2KBT,2
4,4.mp4,30118,14781,A1XAOEDK0Y2KBT,3
4,5.mp4,32787,7545,A1XAOEDK0Y2KBT,3
4,6.mp4,28119,5438,A1XAOEDK0Y2KBT,4
5,1.mp4,96413,37543,AUQ79MANVDU9B,2
1,2.mp4,26998,37203,AUQ79MANVDU9B,3
4,3.mp4,24053,10206,AUQ79MANVDU9B,4
4,4.mp4,24545,19522,AUQ79MANVDU9B,3
3,5.mp4,24549,4221,AUQ79MANVDU9B,5
4,6.mp4,24709,3484,AUQ79MANVDU9B,4
5,1.mp4,93002,26875,AO5E3LWBYM72K,2
1,2.mp4,26835,23559,AO5E3LWBYM72K,3
4,3.mp4,24260,5628,AO5E3LWBYM72K,2
2,4.mp4,25967,5522,AO5E3LWBYM72K,3
2,5.mp4,26136,9693,AO5E3LWBYM72K,3
1,6.mp4,26991,17924,AO5E3LWBYM72K,3
