scores,videos,usertimes,systemtimes,userid,sanityscore
5,1.mp4,160032,70779,A1IOMFFEKCWOIT,5
1,2.mp4,40454,75891,A1IOMFFEKCWOIT,4
5,3.mp4,90033,24894,A1IOMFFEKCWOIT,5
5,4.mp4,53315,8546,A1IOMFFEKCWOIT,5
4,5.mp4,26170,7539,A1IOMFFEKCWOIT,5
4,6.mp4,527183,16820,A1IOMFFEKCWOIT,5
4,7.mp4,286295,5050,A1IOMFFEKCWOIT,5
5,1.mp4,464932,30600,A38DC3BG1ZCVZ2,2
1,2.mp4,33579,12998,A38DC3BG1ZCVZ2,5
5,3.mp4,29713,7026,A38DC3BG1ZCVZ2,2
3,4.mp4,29117,7984,A38DC3BG1ZCVZ2,4
2,5.mp4,43137,18645,A38DC3BG1ZCVZ2,5
1,6.mp4,31152,9751,A38DC3BG1ZCVZ2,5
1,7.mp4,46625,5367,A38DC3BG1ZCVZ2,5
5,1.mp4,102998,32592,A1KJV3S1EK7LUT,2
1,2.mp4,27696,35010,A1KJV3S1EK7LUT,3
4,3.mp4,25138,27297,A1KJV3S1EK7LUT,4
5,4.mp4,27393,27633,A1KJV3S1EK7LUT,2
3,5.mp4,24191,8077,A1KJV3S1EK7LUT,4
1,6.mp4,25556,8686,A1KJV3S1EK7LUT,3
1,7.mp4,26059,7961,A1KJV3S1EK7LUT,3
5,1.mp4,74524,15959,A32QBXDPHHSTOD,2
1,2.mp4,30344,16377,A32QBXDPHHSTOD,2
4,3.mp4,24796,5939,A32QBXDPHHSTOD,3
4,4.mp4,37868,9653,A32QBXDPHHSTOD,3
5,5.mp4,26639,23737,A32QBXDPHHSTOD,2
5,6.mp4,27237,5608,A32QBXDPHHSTOD,2
3,7.mp4,31755,8191,A32QBXDPHHSTOD,5
5,1.mp4,73463,15978,AOAZMLP27GD81,2
1,2.mp4,29144,17271,AOAZMLP27GD81,5
4,3.mp4,23670,5263,AOAZMLP27GD81,4
4,4.mp4,24937,10313,AOAZMLP27GD81,4
2,5.mp4,28360,7353,AOAZMLP27GD81,5
3,6.mp4,28353,23911,AOAZMLP27GD81,5
2,7.mp4,25788,5509,AOAZMLP27GD81,5
5,1.mp4,102591,24794,A3862RIFFUV141,2
1,2.mp4,31495,35030,A3862RIFFUV141,3
5,3.mp4,23549,7719,A3862RIFFUV141,2
4,4.mp4,23579,11202,A3862RIFFUV141,4
5,5.mp4,23326,5571,A3862RIFFUV141,2
4,6.mp4,25486,23188,A3862RIFFUV141,3
2,7.mp4,25578,16434,A3862RIFFUV141,3
5,1.mp4,69944,17855,A2BAQ26SMQQEUG,2
1,2.mp4,33512,19206,A2BAQ26SMQQEUG,2
4,3.mp4,35654,16732,A2BAQ26SMQQEUG,2
5,4.mp4,80083,29405,A2BAQ26SMQQEUG,2
5,5.mp4,57106,8263,A2BAQ26SMQQEUG,2
4,6.mp4,44320,6159,A2BAQ26SMQQEUG,2
4,7.mp4,27695,7662,A2BAQ26SMQQEUG,2
5,1.mp4,76815,6316,A29ZTHY1OB4IC8,2
1,2.mp4,30032,8770,A29ZTHY1OB4IC8,5
2,3.mp4,25054,59716,A29ZTHY1OB4IC8,3
4,4.mp4,28261,11403,A29ZTHY1OB4IC8,2
3,5.mp4,28055,9148,A29ZTHY1OB4IC8,4
5,6.mp4,28633,51302,A29ZTHY1OB4IC8,2
2,7.mp4,26731,5064,A29ZTHY1OB4IC8,5
5,1.mp4,1323633,27126,A1XO6ONCCTBMKW,2
1,2.mp4,30187,7193,A1XO6ONCCTBMKW,5
4,3.mp4,26515,6774,A1XO6ONCCTBMKW,2
5,4.mp4,26406,10084,A1XO6ONCCTBMKW,2
