scores,videos,usertimes,systemtimes,userid,sanityscore
5,1.mp4,42461,8513,A9EVF0SO2IUJ0,2
1,2.mp4,15404,7083,A9EVF0SO2IUJ0,5
3,3.mp4,14568,30174,A9EVF0SO2IUJ0,4
2,4.mp4,16887,6560,A9EVF0SO2IUJ0,4
2,5.mp4,17812,4823,A9EVF0SO2IUJ0,5
2,6.mp4,17485,5386,A9EVF0SO2IUJ0,5
3,7.mp4,16683,12130,A9EVF0SO2IUJ0,3
5,1.mp4,43205,5292,A3N5RTXKN4I723,2
1,2.mp4,18356,7608,A3N5RTXKN4I723,5
3,3.mp4,21378,5745,A3N5RTXKN4I723,4
3,4.mp4,19086,22664,A3N5RTXKN4I723,4
2,5.mp4,19634,10161,A3N5RTXKN4I723,2
1,6.mp4,20665,8307,A3N5RTXKN4I723,5
2,7.mp4,20138,15045,A3N5RTXKN4I723,3
5,1.mp4,81596,16989,A3HALUPLZ4IKYJ,2
1,2.mp4,17921,13902,A3HALUPLZ4IKYJ,3
3,3.mp4,19991,11439,A3HALUPLZ4IKYJ,4
2,4.mp4,18796,10627,A3HALUPLZ4IKYJ,4
1,5.mp4,18745,19373,A3HALUPLZ4IKYJ,4
2,6.mp4,18719,27442,A3HALUPLZ4IKYJ,3
2,7.mp4,17927,29194,A3HALUPLZ4IKYJ,3
5,1.mp4,388744,49586,A16X5FB3HAFCKN,2
1,2.mp4,337387,20290,A16X5FB3HAFCKN,2
5,3.mp4,20097,8392,A16X5FB3HAFCKN,3
5,4.mp4,24434,12638,A16X5FB3HAFCKN,4
5,5.mp4,19935,16496,A16X5FB3HAFCKN,2
5,6.mp4,19599,10823,A16X5FB3HAFCKN,3
5,7.mp4,16506,14869,A16X5FB3HAFCKN,5
5,1.mp4,71949,14259,A3OZ8KF0HWSVWK,2
1,2.mp4,22616,17594,A3OZ8KF0HWSVWK,5
3,3.mp4,17512,8771,A3OZ8KF0HWSVWK,4
3,4.mp4,21789,9075,A3OZ8KF0HWSVWK,4
2,5.mp4,22191,20795,A3OZ8KF0HWSVWK,4
2,6.mp4,28577,7230,A3OZ8KF0HWSVWK,5
3,7.mp4,29585,20990,A3OZ8KF0HWSVWK,3
5,1.mp4,72571,6376,A2IUT0610X9CV0,2
1,2.mp4,52147,4600,A2IUT0610X9CV0,2
3,3.mp4,24735,6786,A2IUT0610X9CV0,4
3,4.mp4,48036,19703,A2IUT0610X9CV0,4
3,5.mp4,27870,8360,A2IUT0610X9CV0,4
3,6.mp4,28026,7088,A2IUT0610X9CV0,5
3,7.mp4,20784,7812,A2IUT0610X9CV0,3
5,1.mp4,628411,13820,A26MRON9XGPVB5,2
1,2.mp4,19834,8841,A26MRON9XGPVB5,5
2,3.mp4,24638,13782,A26MRON9XGPVB5,5
2,4.mp4,24640,8730,A26MRON9XGPVB5,4
3,5.mp4,21987,4822,A26MRON9XGPVB5,5
3,6.mp4,16280,451472,A26MRON9XGPVB5,5
3,7.mp4,44477,11708,A26MRON9XGPVB5,5
5,1.mp4,83546,13436,A2UF2FRGVW4T89,2
1,2.mp4,33129,13234,A2UF2FRGVW4T89,5
3,3.mp4,31741,17498,A2UF2FRGVW4T89,4
3,4.mp4,37424,9881,A2UF2FRGVW4T89,4
3,5.mp4,33494,27590,A2UF2FRGVW4T89,4
3,6.mp4,30104,8948,A2UF2FRGVW4T89,3
2,7.mp4,31297,11191,A2UF2FRGVW4T89,3
5,1.mp4,27202,3940,A2QD9PJUKW7PKK,2
1,2.mp4,17926,4305,A2QD9PJUKW7PKK,5
3,3.mp4,16322,13284,A2QD9PJUKW7PKK,4
4,4.mp4,18358,8649,A2QD9PJUKW7PKK,4
3,5.mp4,20625,3395,A2QD9PJUKW7PKK,4
2,6.mp4,19812,4079,A2QD9PJUKW7PKK,5
3,7.mp4,22104,10915,A2QD9PJUKW7PKK,3
5,1.mp4,46610,6838,AJDXSXAWDDAEO,2
1,2.mp4,14884,4602,AJDXSXAWDDAEO,5
2,3.mp4,15321,4719,AJDXSXAWDDAEO,4
2,4.mp4,16249,4003,AJDXSXAWDDAEO,4
2,5.mp4,14604,4312,AJDXSXAWDDAEO,4
2,6.mp4,15110,5060,AJDXSXAWDDAEO,5
2,7.mp4,17574,21645,AJDXSXAWDDAEO,3
5,1.mp4,154886,9183,A1IU5OP7BBZHZ7,2
1,2.mp4,17678,7178,A1IU5OP7BBZHZ7,5
2,3.mp4,16076,6672,A1IU5OP7BBZHZ7,4
2,4.mp4,16799,12377,A1IU5OP7BBZHZ7,4
2,5.mp4,17730,8905,A1IU5OP7BBZHZ7,4
1,6.mp4,17662,6714,A1IU5OP7BBZHZ7,5
2,7.mp4,15225,28641,A1IU5OP7BBZHZ7,3
5,1.mp4,69952,9287,A3CJVRJ34U70Y9,2
1,2.mp4,24516,11572,A3CJVRJ34U70Y9,3
5,3.mp4,28378,10629,A3CJVRJ34U70Y9,4
5,4.mp4,28714,12766,A3CJVRJ34U70Y9,3
5,5.mp4,25444,6104,A3CJVRJ34U70Y9,2
5,6.mp4,15521,115199,A3CJVRJ34U70Y9,5
4,7.mp4,25373,8814,A3CJVRJ34U70Y9,2
5,1.mp4,39686,7868,A3TUMZ954ORSUC,2
1,2.mp4,26672,7479,A3TUMZ954ORSUC,5
2,3.mp4,19313,7352,A3TUMZ954ORSUC,5
3,4.mp4,27329,17319,A3TUMZ954ORSUC,4
3,5.mp4,34924,38470,A3TUMZ954ORSUC,4
2,6.mp4,15946,7372,A3TUMZ954ORSUC,5
1,7.mp4,13777,40031,A3TUMZ954ORSUC,3
5,1.mp4,243983,6192,ASWZO1WY1UHEP,2
1,2.mp4,19431,10680,ASWZO1WY1UHEP,5
3,3.mp4,19057,13722,ASWZO1WY1UHEP,4
3,4.mp4,24671,19285,ASWZO1WY1UHEP,4
2,5.mp4,18676,47762,ASWZO1WY1UHEP,5
1,6.mp4,20757,5587,ASWZO1WY1UHEP,5
2,7.mp4,14672,34577,ASWZO1WY1UHEP,3
5,1.mp4,74950,9445,A2PYXFVGNJPPX0,3
1,2.mp4,35295,27693,A2PYXFVGNJPPX0,4
3,3.mp4,23888,7421,A2PYXFVGNJPPX0,3
5,4.mp4,19869,16094,A2PYXFVGNJPPX0,3
1,5.mp4,25435,10493,A2PYXFVGNJPPX0,4
1,6.mp4,38037,10078,A2PYXFVGNJPPX0,4
2,7.mp4,23529,10996,A2PYXFVGNJPPX0,4
5,1.mp4,37429,4922,A2R0YYUAWNT7UD,2
1,2.mp4,14662,4288,A2R0YYUAWNT7UD,5
2,3.mp4,13413,30502,A2R0YYUAWNT7UD,4
2,4.mp4,22611,4569,A2R0YYUAWNT7UD,4
2,5.mp4,22120,5617,A2R0YYUAWNT7UD,5
2,6.mp4,16034,4084,A2R0YYUAWNT7UD,5
3,7.mp4,16675,4052,A2R0YYUAWNT7UD,3
5,1.mp4,44296,6906,A14W0AXTJ3R19V,2
1,2.mp4,18152,13669,A14W0AXTJ3R19V,5
1,3.mp4,17391,25083,A14W0AXTJ3R19V,4
2,4.mp4,27760,12010,A14W0AXTJ3R19V,4
3,5.mp4,15035,35384,A14W0AXTJ3R19V,5
1,6.mp4,50740,8962,A14W0AXTJ3R19V,5
2,7.mp4,21165,4333,A14W0AXTJ3R19V,3
5,1.mp4,16502,3400,A2MCG5W6LHSRG9,2
1,2.mp4,15235,3711,A2MCG5W6LHSRG9,5
3,3.mp4,12609,3550,A2MCG5W6LHSRG9,4
3,4.mp4,19290,6715,A2MCG5W6LHSRG9,4
3,5.mp4,12228,21257,A2MCG5W6LHSRG9,5
3,6.mp4,23117,3131,A2MCG5W6LHSRG9,5
4,7.mp4,15896,39495,A2MCG5W6LHSRG9,3
5,1.mp4,56995,14747,AA7BTDZQNHW5,2
1,2.mp4,21611,37074,AA7BTDZQNHW5,3
3,3.mp4,22375,9323,AA7BTDZQNHW5,3
3,4.mp4,23317,15676,AA7BTDZQNHW5,3
2,5.mp4,25405,20192,AA7BTDZQNHW5,3
2,6.mp4,21772,7589,AA7BTDZQNHW5,3
2,7.mp4,19842,8439,AA7BTDZQNHW5,3
5,1.mp4,73818,12752,A2J237J8KM3OCS,2
1,2.mp4,19341,9232,A2J237J8KM3OCS,5
2,3.mp4,15120,40051,A2J237J8KM3OCS,4
2,4.mp4,25246,42346,A2J237J8KM3OCS,4
2,5.mp4,19446,8213,A2J237J8KM3OCS,5
3,6.mp4,15790,32976,A2J237J8KM3OCS,5
3,7.mp4,19744,10352,A2J237J8KM3OCS,3
5,1.mp4,41064,5814,AHV4U78TUUDKI,2
1,2.mp4,15102,4500,AHV4U78TUUDKI,5
2,3.mp4,15973,6239,AHV4U78TUUDKI,4
2,4.mp4,21811,12470,AHV4U78TUUDKI,4
2,5.mp4,21235,6531,AHV4U78TUUDKI,5
2,6.mp4,18411,5812,AHV4U78TUUDKI,5
2,7.mp4,16371,5060,AHV4U78TUUDKI,3
5,1.mp4,30489,12495,A14PFRHG0A2YY9,2
1,2.mp4,17462,9061,A14PFRHG0A2YY9,2
2,3.mp4,16603,11476,A14PFRHG0A2YY9,4
4,4.mp4,39300,24186,A14PFRHG0A2YY9,4
2,5.mp4,24541,35309,A14PFRHG0A2YY9,4
3,6.mp4,15514,30462,A14PFRHG0A2YY9,5
3,7.mp4,15090,14522,A14PFRHG0A2YY9,3
5,1.mp4,57164,6398,A3UUH3632AI3ZX,2
1,2.mp4,13287,3749,A3UUH3632AI3ZX,5
4,3.mp4,13471,5435,A3UUH3632AI3ZX,4
3,4.mp4,33928,4702,A3UUH3632AI3ZX,5
3,5.mp4,22337,10627,A3UUH3632AI3ZX,4
2,6.mp4,17072,3521,A3UUH3632AI3ZX,5
3,7.mp4,15126,5403,A3UUH3632AI3ZX,3
5,1.mp4,48972,9108,A1NF6PELRKACS9,2
1,2.mp4,24426,7308,A1NF6PELRKACS9,5
3,3.mp4,17313,6505,A1NF6PELRKACS9,4
3,4.mp4,21329,7500,A1NF6PELRKACS9,4
2,5.mp4,18118,5738,A1NF6PELRKACS9,5
3,6.mp4,23991,12340,A1NF6PELRKACS9,5
3,7.mp4,18697,9097,A1NF6PELRKACS9,3
5,1.mp4,46782,9115,A219VCQZADQ45W,2
1,2.mp4,16697,8399,A219VCQZADQ45W,5
2,3.mp4,19108,5856,A219VCQZADQ45W,4
3,4.mp4,19600,10981,A219VCQZADQ45W,4
2,5.mp4,22612,4808,A219VCQZADQ45W,4
2,6.mp4,21436,8983,A219VCQZADQ45W,5
2,7.mp4,16254,10527,A219VCQZADQ45W,3
5,1.mp4,208500,7221,A3QI1RV4HQ9MOC,2
1,2.mp4,84849,5064,A3QI1RV4HQ9MOC,3
4,3.mp4,24687,4848,A3QI1RV4HQ9MOC,3
4,4.mp4,17358,6267,A3QI1RV4HQ9MOC,4
3,5.mp4,17715,4880,A3QI1RV4HQ9MOC,3
4,6.mp4,21847,5074,A3QI1RV4HQ9MOC,3
5,7.mp4,128079,8827,A3QI1RV4HQ9MOC,2
5,1.mp4,41425,6985,A28A3HF3LSEIDT,3
1,2.mp4,21623,4686,A28A3HF3LSEIDT,4
4,3.mp4,25328,4422,A28A3HF3LSEIDT,3
4,4.mp4,21684,4888,A28A3HF3LSEIDT,3
3,5.mp4,34757,5205,A28A3HF3LSEIDT,4
5,6.mp4,27717,8703,A28A3HF3LSEIDT,3
1,7.mp4,21340,5304,A28A3HF3LSEIDT,4
5,1.mp4,204274,3419,AKSJ3C5O3V9RB,2
1,2.mp4,16273,3020,AKSJ3C5O3V9RB,5
3,3.mp4,15788,10889,AKSJ3C5O3V9RB,4
3,4.mp4,19652,23374,AKSJ3C5O3V9RB,4
1,5.mp4,20373,8467,AKSJ3C5O3V9RB,5
2,6.mp4,14749,72118,AKSJ3C5O3V9RB,5
