scores,videos,usertimes,systemtimes,userid,sanityscore
5,1.mp4,50621,5005,A29ZTHY1OB4IC8,2
1,2.mp4,19104,6492,A29ZTHY1OB4IC8,5
1,3.mp4,15283,5658,A29ZTHY1OB4IC8,4
1,4.mp4,17295,9197,A29ZTHY1OB4IC8,4
2,5.mp4,30091,20630,A29ZTHY1OB4IC8,4
2,6.mp4,13604,9582,A29ZTHY1OB4IC8,4
2,7.mp4,15784,26263,A29ZTHY1OB4IC8,3
5,1.mp4,57759,106013,AVXEDARJC5HLU,2
1,2.mp4,13288,8926,AVXEDARJC5HLU,5
4,3.mp4,14276,8484,AVXEDARJC5HLU,4
3,4.mp4,16642,18515,AVXEDARJC5HLU,4
4,5.mp4,16129,15914,AVXEDARJC5HLU,4
2,6.mp4,18562,6842,AVXEDARJC5HLU,5
3,7.mp4,15346,10355,AVXEDARJC5HLU,3
5,1.mp4,34811,45725,A1XO6ONCCTBMKW,2
1,2.mp4,16685,14134,A1XO6ONCCTBMKW,5
2,3.mp4,16117,8689,A1XO6ONCCTBMKW,5
3,4.mp4,16113,10251,A1XO6ONCCTBMKW,5
2,5.mp4,16361,6857,A1XO6ONCCTBMKW,5
4,6.mp4,16202,6708,A1XO6ONCCTBMKW,5
3,7.mp4,17408,6585,A1XO6ONCCTBMKW,5
5,1.mp4,38416,4812,A2MCG5W6LHSRG9,2
1,2.mp4,12844,5897,A2MCG5W6LHSRG9,5
2,3.mp4,14123,3517,A2MCG5W6LHSRG9,4
2,4.mp4,12238,25076,A2MCG5W6LHSRG9,4
2,5.mp4,13061,38177,A2MCG5W6LHSRG9,5
3,6.mp4,12627,19663,A2MCG5W6LHSRG9,5
3,7.mp4,12949,10652,A2MCG5W6LHSRG9,3
5,1.mp4,1350206,2557,A183WYXN12P2TJ,2
1,2.mp4,11925,2721,A183WYXN12P2TJ,5
2,3.mp4,12570,1912,A183WYXN12P2TJ,4
2,4.mp4,12118,2236,A183WYXN12P2TJ,4
3,5.mp4,13822,3713,A183WYXN12P2TJ,4
2,6.mp4,11956,3158,A183WYXN12P2TJ,5
1,7.mp4,11930,2272,A183WYXN12P2TJ,3
5,1.mp4,64824,22265,AXMPSUNKUBEIL,2
1,2.mp4,14007,9896,AXMPSUNKUBEIL,5
2,3.mp4,12769,10562,AXMPSUNKUBEIL,4
2,4.mp4,16596,7692,AXMPSUNKUBEIL,4
2,5.mp4,14569,4738,AXMPSUNKUBEIL,5
2,6.mp4,15500,15208,AXMPSUNKUBEIL,5
3,7.mp4,13713,6422,AXMPSUNKUBEIL,3
5,1.mp4,54995,6843,A299J4PKHAEU9H,2
1,2.mp4,18782,6685,A299J4PKHAEU9H,5
5,3.mp4,21962,5596,A299J4PKHAEU9H,5
3,4.mp4,16038,15257,A299J4PKHAEU9H,2
3,5.mp4,19940,4994,A299J4PKHAEU9H,5
5,6.mp4,24930,6807,A299J4PKHAEU9H,5
4,7.mp4,26083,15699,A299J4PKHAEU9H,5
5,1.mp4,59437,9975,AETIZKQNUSBLB,2
1,2.mp4,13551,11507,AETIZKQNUSBLB,5
2,3.mp4,13541,4492,AETIZKQNUSBLB,4
3,4.mp4,15526,6235,AETIZKQNUSBLB,4
2,5.mp4,15966,18844,AETIZKQNUSBLB,4
2,6.mp4,13484,3362,AETIZKQNUSBLB,5
3,7.mp4,14020,14652,AETIZKQNUSBLB,3
5,1.mp4,111202,44052,A2HOUSKURBF8UA,2
1,2.mp4,18814,17025,A2HOUSKURBF8UA,5
4,3.mp4,16770,12506,A2HOUSKURBF8UA,4
4,4.mp4,16813,29364,A2HOUSKURBF8UA,4
3,5.mp4,16985,17573,A2HOUSKURBF8UA,4
3,6.mp4,16620,9780,A2HOUSKURBF8UA,5
3,7.mp4,16066,31803,A2HOUSKURBF8UA,3
5,1.mp4,43799,9857,A26UIS59SY4NM6,2
1,2.mp4,15328,7633,A26UIS59SY4NM6,5
3,3.mp4,13769,27456,A26UIS59SY4NM6,4
2,4.mp4,15355,6037,A26UIS59SY4NM6,5
2,5.mp4,14042,26305,A26UIS59SY4NM6,4
3,6.mp4,15119,5881,A26UIS59SY4NM6,5
3,7.mp4,14825,20609,A26UIS59SY4NM6,3
5,1.mp4,2210455,4175,AKSJ3C5O3V9RB,2
1,2.mp4,16502,3876,AKSJ3C5O3V9RB,5
3,3.mp4,14165,28144,AKSJ3C5O3V9RB,4
2,4.mp4,12838,31877,AKSJ3C5O3V9RB,4
2,5.mp4,13642,76811,AKSJ3C5O3V9RB,4
2,6.mp4,14518,156137,AKSJ3C5O3V9RB,5
3,7.mp4,14868,47164,AKSJ3C5O3V9RB,3
5,1.mp4,42420,19532,A27W025UEXS1G0,2
1,2.mp4,13585,6675,A27W025UEXS1G0,5
1,3.mp4,13661,6091,A27W025UEXS1G0,4
1,4.mp4,14030,4362,A27W025UEXS1G0,4
1,5.mp4,14177,17958,A27W025UEXS1G0,4
1,6.mp4,15756,6468,A27W025UEXS1G0,5
2,7.mp4,14265,11137,A27W025UEXS1G0,3
5,1.mp4,50412,7988,A9EVF0SO2IUJ0,2
1,2.mp4,17759,8273,A9EVF0SO2IUJ0,5
2,3.mp4,15689,10903,A9EVF0SO2IUJ0,4
2,4.mp4,21272,18837,A9EVF0SO2IUJ0,4
3,5.mp4,20193,7583,A9EVF0SO2IUJ0,4
2,6.mp4,17651,5321,A9EVF0SO2IUJ0,5
2,7.mp4,16121,7642,A9EVF0SO2IUJ0,3
5,1.mp4,76355,11777,A3OZ8KF0HWSVWK,2
1,2.mp4,36512,13537,A3OZ8KF0HWSVWK,5
3,3.mp4,23479,11133,A3OZ8KF0HWSVWK,4
2,4.mp4,22172,9132,A3OZ8KF0HWSVWK,4
3,5.mp4,22615,9032,A3OZ8KF0HWSVWK,4
2,6.mp4,21706,6978,A3OZ8KF0HWSVWK,5
3,7.mp4,22034,15097,A3OZ8KF0HWSVWK,3
5,1.mp4,31548,6410,A320QA9HJFUOZO,2
1,2.mp4,15819,16576,A320QA9HJFUOZO,5
2,3.mp4,13847,4106,A320QA9HJFUOZO,4
2,4.mp4,12946,2981,A320QA9HJFUOZO,4
2,5.mp4,12646,3597,A320QA9HJFUOZO,4
2,6.mp4,13314,5754,A320QA9HJFUOZO,5
3,7.mp4,13034,4650,A320QA9HJFUOZO,3
5,1.mp4,52022,20557,A3A8P4UR9A0DWQ,2
1,2.mp4,15831,20583,A3A8P4UR9A0DWQ,5
3,3.mp4,16332,4836,A3A8P4UR9A0DWQ,5
3,4.mp4,16512,7280,A3A8P4UR9A0DWQ,5
1,5.mp4,20517,8328,A3A8P4UR9A0DWQ,5
2,6.mp4,26747,6122,A3A8P4UR9A0DWQ,5
1,7.mp4,16269,27136,A3A8P4UR9A0DWQ,5
5,1.mp4,43989,5459,A2PYXFVGNJPPX0,2
1,2.mp4,70922,5176,A2PYXFVGNJPPX0,5
5,3.mp4,16616,4701,A2PYXFVGNJPPX0,2
4,4.mp4,15376,4146,A2PYXFVGNJPPX0,2
4,5.mp4,17416,7113,A2PYXFVGNJPPX0,2
2,6.mp4,16394,5269,A2PYXFVGNJPPX0,5
1,7.mp4,17396,4835,A2PYXFVGNJPPX0,5
5,1.mp4,153080,43640,ACSS93E03ZUGX ,2
1,2.mp4,22812,5524,ACSS93E03ZUGX ,5
3,3.mp4,14633,13419,ACSS93E03ZUGX ,4
4,4.mp4,14488,3644,ACSS93E03ZUGX ,4
3,5.mp4,15512,3769,ACSS93E03ZUGX ,4
2,6.mp4,15267,5760,ACSS93E03ZUGX ,5
3,7.mp4,13771,4441,ACSS93E03ZUGX ,3
5,1.mp4,28323,6478,A2QD9PJUKW7PKK,2
1,2.mp4,177095,4968,A2QD9PJUKW7PKK,5
3,3.mp4,17550,4913,A2QD9PJUKW7PKK,4
4,4.mp4,16011,4671,A2QD9PJUKW7PKK,4
3,5.mp4,29832,83395,A2QD9PJUKW7PKK,4
2,6.mp4,15267,19998,A2QD9PJUKW7PKK,5
2,7.mp4,16365,13290,A2QD9PJUKW7PKK,3
5,1.mp4,47349,5074,A1G96GPSRSLPC0,2
1,2.mp4,31249,5568,A1G96GPSRSLPC0,5
5,3.mp4,16939,6014,A1G96GPSRSLPC0,2
5,4.mp4,16451,6682,A1G96GPSRSLPC0,2
4,5.mp4,21922,4394,A1G96GPSRSLPC0,2
2,6.mp4,16138,8294,A1G96GPSRSLPC0,5
2,7.mp4,34418,20263,A1G96GPSRSLPC0,5
5,1.mp4,60071,9216,A3TUMZ954ORSUC,2
1,2.mp4,28590,6720,A3TUMZ954ORSUC,5
3,3.mp4,33543,11186,A3TUMZ954ORSUC,4
2,4.mp4,30233,7241,A3TUMZ954ORSUC,5
2,5.mp4,17600,19299,A3TUMZ954ORSUC,5
2,6.mp4,45808,8878,A3TUMZ954ORSUC,5
1,7.mp4,22098,10064,A3TUMZ954ORSUC,5
