,scores,videos,usertimes,systemtimes,userid,sanityscore,end_time
0,5,1.mp4,74751,15584,A27PVIL93ZMY46,2,2701229.4716734886
0,5,1.mp4,81572,27977,A26399B1QZ7XJJ,2,2701257.566673517
0,5,1.mp4,79029,6378,A16X5FB3HAFCKN,2,2701268.498673439
1,1,2.mp4,46495,12245,A27PVIL93ZMY46,5,2701275.966673374
0,5,1.mp4,85855,16630,A2MCG5W6LHSRG9,2,2701278.8376734257
0,5,1.mp4,116158,72547,A2SSYBUT9ZM0G9,2,2701281.043673277
0,5,1.mp4,108157,15067,ASWZO1WY1UHEP,2,2701284.8176734447
0,5,1.mp4,72965,21384,A3OZ8KF0HWSVWK,2,2701286.537673235
0,5,1.mp4,59912,18695,A3A8P4UR9A0DWQ,2,2701287.4286732674
0,5,1.mp4,62627,11386,A1G96GPSRSLPC0,2,2701288.811673403
0,5,1.mp4,54701,11471,AKSJ3C5O3V9RB,2,2701290.3646736145
0,5,1.mp4,56070,4893,A320QA9HJFUOZO,2,2701301.966673374
0,5,1.mp4,74779,9730,A2QD9PJUKW7PKK,2,2701305.543673277
0,5,1.mp4,94073,25794,A1IU5OP7BBZHZ7,2,2701307.1676733494
0,5,1.mp4,52050,12919,A3UV55HC87DO9C,2,2701307.2466733456
0,5,1.mp4,104529,29910,A3V9JFVZQ2XF4Y,2,2701308.8666734695
1,1,2.mp4,53002,7411,A26399B1QZ7XJJ,5,2701310.5686733723
0,5,1.mp4,44481,8125,A22KRF782ELLB0,2,2701310.8836734295
1,1,2.mp4,23681,12675,A3A8P4UR9A0DWQ,5,2701311.1096732616
1,1,2.mp4,24624,16647,A3OZ8KF0HWSVWK,5,2701311.1616733074
1,1,2.mp4,24658,8352,A1G96GPSRSLPC0,5,2701313.469673395
0,5,1.mp4,51273,19537,AJDXSXAWDDAEO,2,2701314.703673601
0,5,1.mp4,49314,25679,A2WGW5Y3ZFBDEC,2,2701314.7866733074
1,1,2.mp4,47066,7168,A16X5FB3HAFCKN,5,2701315.5646734238
1,1,2.mp4,36835,21532,A2MCG5W6LHSRG9,5,2701315.672673464
2,4,6.mp4,40170,14645,A27PVIL93ZMY46,4,2701316.1366734505
0,5,1.mp4,80244,6253,A1L8RL58MYU4NC,2,2701318.811673403
0,5,1.mp4,53066,14756,AOAZMLP27GD81,2,2701319.408673525
0,5,1.mp4,55588,41963,A2GXS7E934VJQ1,2,2701320.053673506
0,5,1.mp4,66232,16456,A30RAYNDOWQ61S,2,2701321.128673315
0,5,1.mp4,78688,64951,A12HZGOZQD5YK7,2,2701321.3606734276
0,5,1.mp4,38577,6142,A1EITLFAMKA61U,2,2701324.839673519
1,1,2.mp4,40032,23260,ASWZO1WY1UHEP,5,2701324.8496735096
1,1,2.mp4,43980,66821,A2SSYBUT9ZM0G9,5,2701325.023673296
0,5,1.mp4,96598,15561,A2BW6WD7LZ9EGV,2,2701325.9486734867
1,1,2.mp4,21257,10624,A2QD9PJUKW7PKK,5,2701326.8006732464
1,1,2.mp4,20751,12318,A3V9JFVZQ2XF4Y,5,2701329.6176736355
1,1,2.mp4,24348,4076,A3UV55HC87DO9C,5,2701331.594673395
2,4,6.mp4,21385,7765,A26399B1QZ7XJJ,2,2701331.9536733627
1,1,2.mp4,24949,11711,A1IU5OP7BBZHZ7,5,2701332.1166734695
1,1,2.mp4,21452,10322,A22KRF782ELLB0,5,2701332.335673332
1,1,2.mp4,19512,11915,A2WGW5Y3ZFBDEC,5,2701334.2986733913
1,1,2.mp4,19828,22603,AJDXSXAWDDAEO,5,2701334.5316734314
2,4,5.mp4,23852,10554,A3OZ8KF0HWSVWK,4,2701335.0136733055
2,3,6.mp4,21341,7580,A2MCG5W6LHSRG9,4,2701337.0136733055
1,1,2.mp4,18695,11586,AOAZMLP27GD81,5,2701338.103673458
1,1,2.mp4,36316,3948,A320QA9HJFUOZO,5,2701338.282673359
1,1,2.mp4,19699,5163,A1L8RL58MYU4NC,5,2701338.510673523
3,4,5.mp4,22891,38154,A27PVIL93ZMY46,4,2701339.027673483
1,1,2.mp4,19435,29054,A2GXS7E934VJQ1,5,2701339.4886734486
2,4,3.mp4,24901,13659,A16X5FB3HAFCKN,2,2701340.4656734467
1,1,2.mp4,19494,39158,A12HZGOZQD5YK7,5,2701340.8546733856
1,1,2.mp4,21220,16690,A30RAYNDOWQ61S,5,2701342.3486733437
2,4,4.mp4,31334,13196,A3A8P4UR9A0DWQ,2,2701342.4436733723
2,4,4.mp4,29043,7676,A1G96GPSRSLPC0,5,2701342.512673378
1,1,2.mp4,18577,4446,A1EITLFAMKA61U,5,2701343.416673422
1,1,2.mp4,54332,7796,AKSJ3C5O3V9RB,5,2701344.6966736317
1,1,2.mp4,19094,8510,A2BW6WD7LZ9EGV,5,2701345.0426733494
2,5,5.mp4,23092,9705,A2SSYBUT9ZM0G9,2,2701348.1156733036
2,3,4.mp4,19781,16946,A3V9JFVZQ2XF4Y,4,2701349.3986735344
2,3,4.mp4,22684,10339,A2QD9PJUKW7PKK,4,2701349.4846732616
2,3,6.mp4,25169,16660,ASWZO1WY1UHEP,4,2701350.01867342
3,5,5.mp4,21151,4210,A26399B1QZ7XJJ,2,2701353.1046733856
2,5,5.mp4,21027,45912,A1IU5OP7BBZHZ7,4,2701353.14367342
